data_products,policies,execution_time,operations
1,0,0.1303882598876953,0
2,0,0.05663919448852539,0
3,0,0.15432310104370117,0
4,0,0.10625910758972168,0
5,0,0.13466668128967285,0
6,0,0.17800378799438477,0
7,0,0.20746564865112305,0
8,0,0.3271160125732422,0
9,0,0.28254246711730957,0
10,1,3.600322723388672,20
11,1,3.7887489795684814,22
12,1,4.188676357269287,24
13,1,4.561443090438843,26
14,1,4.9666056632995605,28
15,1,5.730871677398682,30
16,1,6.137274265289307,32
17,1,6.06568455696106,34
18,1,6.43492579460144,36
19,1,6.854154109954834,38
20,2,14.80197787284851,80
21,2,14.898372888565063,84
22,2,14.969930171966553,88
23,2,16.22173523902893,92
24,2,16.367429971694946,96
25,2,17.419047117233276,100
26,2,17.93357825279236,104
27,2,18.666001558303833,108
28,2,19.470916271209717,112
29,2,20.116345167160034,116
30,3,30.681531190872192,180
31,3,31.866920709609985,186
32,3,32.93381714820862,192
33,3,33.95170831680298,198
34,3,35.061805963516235,204
35,3,36.90066933631897,210
36,3,37.61132502555847,216
37,3,39.10469055175781,222
38,3,39.60364246368408,228
39,3,40.98295879364014,234
40,4,55.59421133995056,320
41,4,56.51439452171326,328
42,4,58.92421340942383,336
43,4,60.76483964920044,344
44,4,61.32095551490784,352
45,4,62.92443108558655,360
46,4,64.4073634147644,368
47,4,67.4026050567627,376
48,4,67.42328262329102,384
49,4,69.17571377754211,392
50,5,87.79713487625122,500
51,5,90.91918277740479,510
52,5,91.57848882675171,520
53,5,93.77781629562378,530
54,5,96.74714922904968,540
55,5,97.81506943702698,550
56,5,99.77668690681458,560
57,5,103.06550455093384,570
58,5,102.88227033615112,580
59,5,105.5159215927124,590
60,6,129.52961039543152,720
61,6,130.6850869655609,732
62,6,134.17742490768433,744
63,6,137.22043299674988,756
64,6,138.8524570465088,768
65,6,140.98029923439026,780
66,6,146.59203100204468,792
67,6,146.31370329856873,804
68,6,148.66075897216797,816
69,6,150.2831995487213,828
70,7,180.53271412849426,980
71,7,181.11569356918335,994
72,7,185.09011888504028,1008
73,7,186.98661875724792,1022
74,7,190.629460811615,1036
75,7,193.0386438369751,1050
76,7,195.50613856315613,1064
77,7,199.57096934318542,1078
78,7,202.20694828033447,1092
79,7,205.65598058700562,1106
80,8,237.80060410499573,1280
81,8,241.12011408805847,1296
82,8,246.49182891845703,1312
83,8,248.64928102493286,1328
84,8,252.00915575027466,1344
85,8,255.60640454292297,1360
86,8,259.16386556625366,1376
87,8,262.9079122543335,1392
88,8,266.06508684158325,1408
89,8,270.13650393486023,1424
90,9,307.8103413581848,1620
91,9,311.67118883132935,1638
92,9,315.35556626319885,1656
93,9,320.25060200691223,1674
94,9,323.6763846874237,1692
95,9,328.1132552623749,1710
96,9,334.7293758392334,1728
97,9,336.2699785232544,1746
98,9,340.35189962387085,1764
99,9,344.2728798389435,1782
100,10,386.25659918785095,2000
