hospitalCode,city,country
HOSP-0001,Madrid,ES
HOSP-0002,Paris,FR
HOSP-0003,Hamburg,DE
HOSP-0004,Milano,IT
HOSP-0005,Porto,PT
HOSP-0006,Rotterdam,NL
HOSP-0007,Bruxelles,BE
HOSP-0008,Wien,AT
HOSP-0009,Gdańsk,PL
HOSP-0010,Praha,CZ
HOSP-0011,Athina,GR
HOSP-0012,Stockholm,SE
HOSP-0013,Espoo,FI
HOSP-0014,Aarhus,DK
HOSP-0015,Dublin,IE
HOSP-0016,Cluj-Napoca,RO
HOSP-0017,Burgas,BG
HOSP-0018,Split,HR
HOSP-0019,Žilina,SK
HOSP-0020,Celje,SI
HOSP-0021,Budapest,HU
HOSP-0022,Kaunas,LT
HOSP-0023,Jelgava,LV
HOSP-0024,Narva,EE
HOSP-0025,Larnaca,CY
HOSP-0026,Birkirkara,MT
HOSP-0027,Esch-sur-Alzette,LU
HOSP-0028,Valencia,ES
HOSP-0029,Paris,FR
HOSP-0030,Berlin,DE
HOSP-0031,Torino,IT
HOSP-0032,Lisboa,PT
HOSP-0033,Utrecht,NL
HOSP-0034,Gent,BE
HOSP-0035,Linz,AT
HOSP-0036,Warszawa,PL
HOSP-0037,Plzeň,CZ
HOSP-0038,Athina,GR
HOSP-0039,Uppsala,SE
HOSP-0040,Helsinki,FI
HOSP-0041,Odense,DK
HOSP-0042,Galway,IE
HOSP-0043,Cluj-Napoca,RO
HOSP-0044,Sofia,BG
HOSP-0045,Zagreb,HR
HOSP-0046,Košice,SK
HOSP-0047,Celje,SI
HOSP-0048,Budapest,HU
HOSP-0049,Kaunas,LT
HOSP-0050,Rīga,LV
