ticker,price,volume,exchange,timestamp
GOOGL,61.25,36148,NYSE,2026-03-17 13:28:15
JPM,89.12,55402,NYSE,2026-03-17 13:43:16
JPM,320.91,73663,NYSE,2026-03-17 13:29:16
NVDA,149.2,77336,NASDAQ,2026-03-17 13:09:27
MSFT,364.16,44697,NASDAQ,2026-03-17 13:21:51
META,95.99,49897,NYSE,2026-03-17 13:39:38
TSLA,413.21,95747,NASDAQ,2026-03-17 13:21:24
NVDA,85.46,38527,NASDAQ,2026-03-17 13:29:11
AAPL,347.57,38030,NYSE,2026-03-16 16:57:44
NVDA,175.09,83420,NASDAQ,2026-03-17 13:39:19
TSLA,365.82,89693,NYSE,2026-03-17 13:44:39
AMZN,123.53,49835,NASDAQ,2026-03-16 22:16:51
JPM,148.83,42604,NYSE,2026-03-17 13:48:41
META,230.52,8775,NYSE,2026-03-16 23:59:27
META,145.68,65535,NASDAQ,2026-03-16 22:12:50
MSFT,169.2,32425,NASDAQ,2026-03-17 13:37:11
V,229.73,28846,NYSE,2026-03-17 13:46:59
AAPL,437.5,20133,NYSE,2026-03-17 13:37:22
GOOGL,223.15,78204,NASDAQ,2026-03-17 13:21:27
AAPL,356.13,15114,NASDAQ,2026-03-17 13:39:45
TSLA,245.64,59570,NYSE,2026-03-16 16:44:32
TSLA,487.35,99971,NYSE,2026-03-17 13:46:32
TSLA,428.75,66640,NYSE,2026-03-17 13:27:30
JPM,479.07,69614,NYSE,2026-03-17 13:35:27
GOOGL,468.09,40406,NYSE,2026-03-17 13:24:09
GOOGL,88.54,63799,NYSE,2026-03-17 00:48:02
MSFT,107.78,62396,NYSE,2026-03-17 13:24:19
NVDA,483.96,70786,NYSE,2026-03-17 13:38:03
META,247.15,67939,NASDAQ,2026-03-17 13:43:06
META,59.47,72703,NYSE,2026-03-17 13:49:24
AAPL,153.02,4217,NASDAQ,2026-03-17 13:42:43
NFLX,146.41,17442,NASDAQ,2026-03-17 13:35:54
NVDA,135.68,12804,NASDAQ,2026-03-17 13:37:41
AAPL,353.01,84796,NYSE,2026-03-17 13:28:30
GOOGL,161.9,25031,NASDAQ,2026-03-17 13:44:18
NFLX,162.41,9980,NASDAQ,2026-03-16 17:12:33
GOOGL,72.76,70955,NYSE,2026-03-16 15:33:22
AMZN,124.84,63753,NASDAQ,2026-03-17 13:37:59
AAPL,124.09,382,NASDAQ,2026-03-17 13:26:52
NFLX,178.36,91403,NASDAQ,2026-03-17 13:41:01
AAPL,310.63,71166,NYSE,2026-03-17 13:47:57
V,264.55,69715,NYSE,2026-03-17 13:34:53
MSFT,80.83,9007,NYSE,2026-03-17 13:22:18
V,160.8,78024,NYSE,2026-03-17 13:37:27
V,304.35,41567,NASDAQ,2026-03-17 13:28:51
AMZN,169.53,17254,NASDAQ,2026-03-17 13:22:40
GOOGL,54.19,81516,NYSE,2026-03-17 13:43:26
TSLA,109.61,45845,NYSE,2026-03-17 04:37:57
MSFT,247.18,71300,NASDAQ,2026-03-17 13:20:59
JPM,53.52,72792,NASDAQ,2026-03-17 10:52:40
MSFT,169.01,14129,NYSE,2026-03-17 13:32:04
META,141.62,83230,NASDAQ,2026-03-17 13:42:20
AAPL,91.53,55618,NASDAQ,2026-03-17 13:39:56
MSFT,336.7,34435,NYSE,2026-03-17 13:33:37
NVDA,302.41,14763,NYSE,2026-03-16 21:04:58
MSFT,295.52,48493,NYSE,2026-03-17 13:48:24
META,454.54,5329,NASDAQ,2026-03-17 13:42:23
GOOGL,209.16,73485,NASDAQ,2026-03-16 19:42:36
AMZN,439.07,23306,NASDAQ,2026-03-17 13:28:15
META,402.07,54064,NYSE,2026-03-17 13:26:47
